timestamp,periodo,brilho,person,bicycle,car,motorcycle,bus,truck
2026-08-07 03:11:21,Noite,65.74,0,0,1,0,0,0
2026-08-07 03:15:35,Noite,67.82,0,0,2,0,0,0
2026-08-07 03:44:57,Noite,66.15,0,0,0,0,0,0
2026-08-07 05:29:30,Noite,63.07,0,0,0,0,1,2
2026-08-07 07:01:05,Noite,64.64,0,0,0,0,1,2
2026-08-07 08:15:37,Noite,70.84,0,0,0,0,1,0
2026-08-07 09:52:18,Dia,141.27,0,0,2,0,0,2
2026-08-07 10:44:23,Dia,139.72,0,0,2,0,0,0
2026-08-07 11:39:56,Dia,129.51,0,0,1,0,0,0
2026-08-07 12:40:38,Dia,126.34,0,0,0,0,0,0
2026-08-07 13:27:18,Dia,133.67,2,0,7,0,0,1
2026-08-07 14:06:35,Dia,114.57,0,0,2,0,0,2
2026-08-07 15:45:21,Dia,136.78,1,0,5,1,3,1
2026-08-07 16:42:55,Dia,134.95,0,0,5,0,1,1
2026-08-07 17:41:28,Dia,132.7,0,0,12,0,0,4
2026-08-07 18:40:36,Dia,131.93,0,0,6,0,2,3
2026-08-07 19:45:26,Dia,132.87,1,0,7,0,0,1
2026-08-07 20:30:34,Dia,124.73,0,0,6,0,2,1
2026-08-07 21:30:14,Noite,0.0,0,0,0,0,0,0
2026-08-07 22:26:25,Noite,71.0,0,0,3,0,0,1
2026-08-07 23:25:58,Noite,0.0,0,0,0,0,0,0
2026-08-08 00:50:46,Noite,63.48,0,0,2,0,0,0
2026-08-08 02:52:01,Noite,69.66,1,0,2,0,0,2
